Designator,Mid X,Mid Y,Rotation,Layer
C1,149.4688,-93.3412,0.0,top
C2,139.0255,-89.7636,180.0,top
C3,139.0255,-95.6564,180.0,top
C4,135.8759,-92.7608,270.0,top
C5,149.4536,-90.17,270.0,top
C6,149.4688,-103.8568,0.0,top
CN1,161.5084,-85.7824,270.0,top
J1,133.2851,-92.7608,0.0,top
J2,161.5592,-103.8568,270.0,top
J3,137.3884,-103.8568,270.0,top
Q1,163.1907,-95.678,90.0,top
Q2,159.793,-95.678,90.0,top
Q3,142.6972,-88.3412,90.0,top
R1,163.1907,-98.9292,180.0,top
R2,159.7871,-98.9292,180.0,top
R3,152.146,-89.2556,0.0,top
R4,146.7612,-89.2556,180.0,top
R5,142.6831,-95.6564,0.0,top
R6,139.0396,-87.9856,180.0,top
R7,139.0396,-86.4616,180.0,top
SW1,138.0424,-79.8873,180.0,top
U1,149.4688,-96.948,180.0,top
U2,139.0396,-92.7608,90.0,top
U3,142.6831,-92.7608,0.0,top
USB1,149.4536,-84.7344,180.0,top
